ejemplo,categoria,tipo_victima,metafora_dominante,mecanismo_de_distorsion,canal_difusion,breve_descripcion
Farmacéuticas,industria,entidad abstracta,ogro,diabolización,medios,Simplificadas como máquinas del mal.
Vacunas ARN,pandemia,idea abstracta,fantasma,desconfianza,redes,Convertidas en experimento peligroso.
Microchips 5G,pseudociencia,idea abstracta,tentáculos,hiperstición,redes,Narrativa conspirativa masiva.
Antivacunas,pseudociencia,grupo ideológico,espejo roto,fanatización,redes,Viralizan miedo como identidad.
Quimiofobia,pseudociencia,idea abstracta,veneno,conceptualización,memes,"Lo químico es malo" como dogma.
Aceites esenciales,pseudociencia,idea abstracta,curación mágica,simplificación,redes,Solución universal imaginaria.
Refugiados,migración,grupo marginado,enjambre,animalización,medios,Representados como plaga.
Migrantes africanos,migración,grupo marginado,riada,deshumanización,prensa,Presentados como flujo imparable.
Personas sin hogar,exclusión social,grupo vulnerable,sombra,borrado,ciudad,Convertidos en paisaje urbano.
Comunidad gitana,marginalidad,grupo marginado,ruido,estereotipación,rumores,Atribución de delitos sin base.
Personas trans,género,grupo marginado,espejo roto,estigmatización,política,Convertidas en amenaza cultural.
Personas LGTB,género,grupo marginado,avatar,caricaturización,humor,Convertidas en entretenimiento 90s.
Mujeres en redes,género,grupo marginado,avispero,linchamiento,redes,Constantemente atacadas.
Madres solteras,género,grupo vulnerable,pozo,culpabilización,medios,Responsabilizadas de problemas sociales.
Vídeos de Primera,tv,individuo,caída,espectacularización,tv,Transformación del dolor en humor.
Vídeos de Zapping,tv,individuo caricaturizado,circo,ridiculización,tv,Hacer humor de fallos reales.
Tómbola,tv,individuo,circo,humillación,tv,Show basado en devorar reputaciones.
Crónicas Marcianas,tv,individuo,fauces,violencia simbólica,tv,Personajes usados como carne mediática.
Pozí,tv,individuo vulnerable,bestiario,cosificación,tv,Reducido a caricatura inhumana.
Carmen de Mairena,tv,individuo vulnerable,circo,espectacularización,tv,Convertida en "chiste".
Coto Matamoros,tv,individuo famoso,lobo colectivo,demonización,tv,Construcción de villano oficial.
Carmen Hornillos,tv,individuo vulnerable,espejo roto,burla,tv,Explotada sin piedad televisiva.
La Noria,tv,individuo,circo,morbosidad,tv,Espectáculo de sufrimiento.
Sálvame,tv,individuo,fauces,linchamiento,tv,Devora identidades en directo.
Belén Esteban,tv,individuo famoso,avatar,caricaturización,televisivo,Transformada en figura abstracta.
Jorge Javier Vázquez,tv,individuo famoso,carcasa,polarización,tv,Único o villano según narrativa.
María Teresa Campos,tv,individuo famoso,ídolo roto,espectáculo,tv,Expuesta en fragilidad mediática.
Chiquito de la Calzada,tv,individuo,carcasa,iconización,tv,Convertido en mito cómico.
Carlos Latre,tv,individuo,avatar,mimetismo,tv,Sus imitaciones crean monstruos simbólicos.
Triunfitos OT,tv,colectivo,espejo roto,idealización,tv,Figuras moldeadas según audiencia.
Triunfitos expulsados,tv,individuo,caída,purga,tv,Caída ritualizada.
Marujas de reality,tv,grupo vulnerable,circo,cosificación,tv,Usadas como entretenimiento.
Youtubers polémicos,internet,individuo famoso,lobo colectivo,linchamiento,redes,Público castigador.
Streamers grandes,internet,individuo famoso,espejo roto,hiperexposición,redes,Todo se magnifica.
Streamers pequeños,internet,individuo,sombra,borrado,algoritmo,Invisibles salvo polémicas.
Tiktokers virales,internet,adolescentes,enjambre,exposición extrema,redes,Convertidos en meme masivo.
Influencers fitness,internet,individuo,avatar,cosificación,instagram,Cuerpos como mercancía.
Influencers belleza,internet,individuo,espejo roto,exigencia extrema,redes,Idealización imposible.
Cosplayers,internet,individuo,carcasa,exotización,eventos,Vistos como rareza pública.
Gamers,cultura digital,grupo marginado,avatar,demonización,medios,Blanco habitual de pánico moral.
Otakus,cultura digital,grupo marginado,carcasa,estereotipación,memes,Representados como antisociales.
Fans de Kpop,cultura digital,colectivo,enjambre,caricaturización,medios,Vistos como secta global.
Fans de fútbol,deporte,colectivo,manada,polarización,medios,Vistos como hordas irracionales.
Ultras,deporte,colectivo,lobo,demonización,medios,Convertidos en bestias peligrosas.
El VAR,deporte,entidad abstracta,máquina,culpabilización,medios,Enemigo público de los bares.
Economistas,profesión,colectivo,torre,desconfianza,medios,Considerados élite fría.
Abogados,profesión,colectivo,jaula,estereotipación,humor,presentados como estafadores.
Psicólogos,profesión,colectivo,espejo roto,ridiculización,series,Representados como charlatanes.
Programadores,tecnología,colectivo,laberinto,culpabilización,medios,Culpados de fallos digitales.
Hackers,tecnología,colectivo,bestiario,demonización,medios,Imagen oscura y peligrosa.
IA moderna,tecnología,entidad abstracta,fantasma,apocalipsis anunciado,redes,Vista como amenaza.
ChatGPT,tecnología,entidad abstracta,oráculo fallido,hipérbole,memes,Representado como dios o monstruo.
Algoritmos,tecnología,entidad abstracta,máquina opresora,culpabilización,redes,Culpados de todo.
El sistema educativo,sociedad,entidad abstracta,máquina,culpabilización,medios,Blanco universal.
El sistema sanitario,sociedad,entidad abstracta,laberinto,culpabilización,medios,Culpado por fallos estructurales.
Los medios,sociedad,entidad abstracta,ogro,diabolización,redes,Responsables de todo mal.
Los videojuegos,cultura pop,entidad abstracta,fantasma,culpabilización,medios,Blanco fácil del pánico moral.
Música urbana,cultura pop,entidad abstracta,lobo,demonización,política,Asociada a delincuencia.
Reggaetón,cultura pop,entidad abstracta,ruido,estigmatización,medios,Convertido en "baja cultura".
Rock satánico,cultura pop,entidad abstracta,ritual,demonización,medios,Asociado a ocultismo absurdo.
Heavy metal,cultura pop,entidad abstracta,monstruo,estigma,medios,Atribuido a violencia juvenil.
Brujas de Salem,historia,grupo marginado,pira,purga,religión,Ejemplo clásico de linchamiento.
Caza de brujas McCarthy,historia,grupo ideológico,fantasma,paranoia,política,Carreras arruinadas por sospechas.
Judíos medievales,historia,grupo marginado,bestiario,animalización,mitos,Acusados de plagas y venenos.
Pánicos satánicos 80,historia,grupo ideológico,ritual,hiperstición,medios,Invento moral amplificado.
Paciente cero,pandemia,individuo vulnerable,chivo expiatorio,culpabilización,medios,Villanización intensa.
Mercados húmedos,pandemia,grupo marginado,fauces,culpabilización,medios,Visto como origen malévolo.
Variantes del virus,pandemia,idea abstracta,fantasma,temor,medios,Convertidas en monstruos con nombre.
Los chinos,pandemia,grupo marginado,animalización,culpabilización,rumores,Blanco de xenofobia.
Trabajadores esenciales,pandemia,colectivo,sombra,borrado,medios,Héroes invisibles.
Personal de supermercado,pandemia,colectivo,sombra,borrado,medios,Riesgo ignorado.
Personas con covid largo,pandemia,individuo vulnerable,invisibilidad,borrado,medicina,Poco comprendidas.
Jurado de realities,tv,colectivo,manada,linchamiento,tv,Ejercen poder simbólico sobre concursantes.
Concursantes de Gran Hermano,tv,individuo,circo,explotación,tv,Vidas observadas como zoológico humano.
Concursantes de Supervivientes,tv,individuo,fauces,convivencia forzada,tv,Convertidos en espectáculo de sufrimiento.
Concursantes de La Isla de las Tentaciones,tv,individuo,circo,exposición extrema,tv,Relaciones usadas como carnaza emocional.
Parejas virales,tv,individuo,espejo roto,polarización,redes,Convertidas en campo de batalla moral.
Karmele Marchante en Sálvame,tv,individuo vulnerable,jaula,sometimiento,tv,Destrucción sistemática de imagen.
Mila Ximénez,tv,individuo famoso,fauces,conflicto,tv,Convertida en gladiadora mediática.
Raquel Mosquera,tv,individuo vulnerable,circo,deshumanización,tv,Explotación de fragilidad emocional.
Julio Ruz,tv,individuo famoso,bestiario,ridiculización,tv,Villano ideal para el formato.
Ylenia Padilla,tv,individuo famoso,avatar,excesos,tv,Convertida en icono de polémica continua.
Kiko Rivera,tv,individuo famoso,espejo roto,morbosidad,tv,Expuesto en conflictos familiares.
Isa Pantoja,tv,individuo famoso,carcasa,cosificación,tv,Identidad sometida al relato de la saga.
Kiko Matamoros,tv,individuo famoso,lobo,agresividad,tv,Construido como antagonista profesional.
Alba Carrillo,tv,individuo famoso,avatar,estigmatización,tv,Transformada en personaje sin matices.
Lucía Pariente,tv,individuo famoso,manada,linchamiento,tv,Convertida en villana materna.
Sofía Suescun,tv,individuo famoso,carcasa,exotización,tv,Imagen creada para el conflicto continuo.
Terelu Campos,tv,individuo famoso,ídolo roto,espectáculo,tv,Expuesta como parte del show familiar.
Carmen Borrego,tv,individuo famoso,jaula palaciega,escarnio,tv,Desnudez emocional pública.
Nacho Polo,tv,individuo famoso,lobo colectivo,demonización,tv,Antagonista construido para audiencias.
Marujas televisivas,tv,grupo marginado,circo,cosificación,tv,Convertidas en caricaturas sociales.
Concursantes frikis típicos,tv,grupo vulnerable,bestiario,animalización,tv,Usados como diversión.
Pozí versión 2000,tv,individuo vulnerable,bestiario extremo,humillación,tv,Objetualización total.
Mariñas,tv,individuo famoso,carcasa,ridiculización,tv,Convertido en meme antes de los memes.
Latre caricaturas,tv,individuo,avatar,distorsión,tv,Figuras exageradas como entidades abstractas.
Aramís Fuster,tv,individuo famoso,espejo roto,desprestigio,tv,Convertida en figura mitológica ridícula.
David Bisbal,tv,individuo famoso,carcasa,idealización,tv,Narrativa de cuento pop.
Chenoa,tv,individuo famoso,espejo roto,morbosidad,tv,Historia sentimental convertida en tragedia nacional.
Bustamante,tv,individuo famoso,avatar,caricaturización,tv,Representado como drama ambulante.
Tamara Falcó,tv,individuo famoso,altar,canonización,tv,Convertida en símbolo espiritual mediático.
Isabel Preysler,tv,individuo famoso,ídolo perfecto,idealización,revistas,Imagen totalmente controlada.
Leticia Sabater,tv,individuo famoso,circo,espectáculo,redes,Convertida en icono del kitsch involuntario.
Artistas eurovisivos,tv,individuo famoso,bestiario,ridiculización,tv,Convertidos en memes internacionales.
Jesulín de Ubrique,prensa del corazón,individuo famoso,jaula,fijación mediática,revistas,Convertido en telenovela continua.
Paquirrín,kiko rivera,individuo famoso,espejo roto,burla,redes,Imagen deformada públicamente.
La Pantoja,prensa del corazón,individuo famoso,jaula,saga eterna,medios,Convertida en drama nacional perpetuo.
Julián Muñoz,política,individuo famoso,lobo,demonización,medios,Representado como villano absoluto.
Mar Flores,prensa rosa,individuo famoso,avatar,cosificación,revistas,Drama perpetuo.
Elsa Pataky,celebridad,individuo famoso,carcasa,idealización,revistas,Representada como perfección absoluta.
Paz Padilla,tv,individuo famoso,espejo roto,polarización,redes,Cualquier frase se viraliza para bien o mal.
Risto Mejide,tv,individuo famoso,lobo,crueldad simbólica,tv,Convertido en juez oscuro.
Ana Obregón,prensa,individuo famoso,manada,juicio moral,medios,Su vida convertida en debate público.
Teresa Romero,pandemia,individuo vulnerable,chivo expiatorio,culpabilización,medios,Responsabilizada injustamente.
Hermanos afectados Ébola,pandemia,individuo vulnerable,espejo roto,espectacularización,medios,Privacidad destruida.
Ancianos residencias,pandemia,colectivo vulnerable,sombra,borrado,medios,Silenciados como cifras.
COVIDeros en redes,pandemia,colectivo,carcasa,estigmatización,memes,Ridiculizados por enfermar.
Niños con mascarilla,pandemia,individuo vulnerable,fantasma,temor,medios,Convertidos en símbolo de decadencia.
Chinos en pandemia,xenofobia,grupo marginado,animalización,culpabilización,rumores,Blanco inmediato del miedo.
Coreanos y japoneses,asia,grupo marginado,carcasa,estereotipación,redes,Metidos en el mismo saco cultural.
Working class,sociedad,grupo marginado,bestiario,ridiculización,series,Representados como burdos.
Pijos,sociedad,grupo marginado,avatar,odio de clase,redes,Presentados como villanos blandos.
Chonis,sociedad,grupo marginado,carcasa,estereotipación,memes,Convertidas en personaje nacional.
Cani,sociedad,grupo marginado,bestiario,animalización,humor,Representación degradante.
Raperos españoles,música,colectivo,lobo,criminalización,medios,Asociados a violencia.
Kinky (España 80s),historia urbana,grupo marginado,bestiario,demonización,medios,Convertidos en monstruos sociales.
Presos,presos,grupo marginado,ogro,criminalización,medios,Representados como irrecuperables.
Pobres estructurales,sociedad,grupo vulnerable,pozo,borrado,política,Convertidos en estadísticas.
Usuarios de servicios sociales,sociedad,grupo vulnerable,pozo,estigmatización,medios,Representados como oportunistas.
Personas con discapacidad,sociedad,grupo vulnerable,sombra,borrado,medios,O se invisibilizan o se infantilizan.
Adolescentes actuales,sociedad,grupo marginado,ruido,generalización,prensa,Presentados como inútiles o peligrosos.
Generación Z,sociedad,grupo marginado,carcasa,estereotipación,memes,Convertida en caricatura.
Millennials,sociedad,grupo marginado,carcasa,estereotipación,medios,Culpados de destruir industrias.
Boomers,sociedad,grupo,caricaturización,estigma,memes,Reducidos a cliché cascarrabias.
Veganos,sociedad,grupo ideológico,avatar,ridiculización,memes,Convertidos en extremistas.
Crossfitters,sociedad,grupo ideológico,avatar,bofa,memes,Representados como secta fitness.
Poliamorosos,sociedad,grupo ideológico,caricatura,moralización,redes,Reducidos a meme de caos sentimental.
Feministas,ridiculización,grupo ideológico,bestiario,polarización,memes,Convertidas en monstruo cultural.
Incel,internet,grupo ideológico,ogro,estigmatización,medios,Presentados como bomba social.
Crypto bros,internet,grupo ideológico,carcasa,caricaturización,redes,Imagen de gurús vacíos.
Fans de astrología,internet,grupo ideológico,avatar,humor,memes,Caricaturizados como ingenuos.
Cospiranoicos, internet,grupo ideologico,humo mental,hiperstición,redes,Inventan monstruos conceptuales.
Terraplanistas,pseudociencia,grupo ideológico,espejo roto,ridiculización,redes,Convertidos en chiste vivo.
Homeópatas,pseudociencia,grupo ideológico,fantasma,autoengaño,redes,Presentados como sabios alternativos.
Negacionistas clima,pseudociencia,grupo ideológico,espejo roto,borrado,política,Distorsionan modelos científicos.
Obesidad en tv,sociedad,grupo vulnerable,circo,espectáculo,realities,Convertidos en show del cuerpo.
Enfermos mentales,salud,grupo vulnerable,monstruo interior,estigmatización,series,Representados como peligrosos.
Personas con ansiedad,salud,individuo,sombra,borrado,medios,Minimización del sufrimiento real.
Personas autistas,salud,grupo neurodiverso,carcasa,estereotipación,series,Reducidos a genios raros.
Personas TDAH,salud mental,grupo,avatar,simplificación,redes,Convertidos en meme de despiste.
Niños hiperactivos,salud mental,grupo,marejada,estigma,escuela,Interpretados como problema.
Psiquiatras,profesiones,colectivo,torre,distancia social,series,Representados como fríos.
Dentistas,profesiones,colectivo,ogro,demonización,chistes,Presentados como sádicos.
Camareros,profesiones,colectivo,sombra,borrado,ciudad,Invisibles salvo error.
Riders,empleo,colectivo,explotación,cosificación,apps,Vistos como engranajes humanos.
Teleoperadores,empleo,colectivo,bestiario,incomodidad,memes,Deshumanizados por quejas.
Reponedores,empleo,colectivo,sombra,borrado,supermercados,Trabajo invisible.
Influencers cocina,internet,individuo,carcasa,exigencia,redes,Idealización irreal.
Influencers maternidad,internet,individuo,espejo roto,juicio,maternas,Polémica constante.
Creadores OnlyFans,internet,individuo,carcasa,cosificación,redes,Reducidos a mercancía moral.
Gig economy,internet,colectivo,máquina,alienación,economía,Humanos fragmentados en microtareas.
IA generativa,internet,entidad abstracta,fantasma,apocalipsis,medios,Convertida en criatura consciente.
Deepfakes,internet,tecnología,espejo roto,falsificación,redes,Distorsión total de identidad.
Bots,twitter,entidad abstracta,enjambre,automatización,redes,Percepción de ataque masivo.
Hate raids Twitch,internet,colectivo organizado,manada,linchamiento,streaming,Ataques coordinados.
Moderadores plataformas,internet,colectivo,sombra,borrado,tecnología,Trabajo invisible y traumático.
Trolls,internet,individuo,lobo,hostilidad,redes,Amenaza simbólica constante.
Foreros 2000,internet,colectivo,avatar,descontrol,foros,Identidades infladas y distorsionadas.
Anonymous,internet,colectivo,careta,mitificación,redes,Figura brincando entre héroe y villano.
Hacktivistas,internet,colectivo,fantasma,temor institucional,medios,Movimientos vistos como amenaza global.
Ciberdelincuentes,internet,colectivo,ogro,demonización,medios,Representados con estética oscura.
Usuarios de PDF piratas,internet,colectivo,avatar,humor,memes,Convertidos en ratones digitales.
TikTok POV,internet,estilo,cápsula,caricaturización,redes,Estereotipos visuales.
Adolescentes gamers,cultura pop,grupo marginado,carcasa,estereotipación,medios,Culpados de aislamiento.
Niños YouTube,kids media,grupo vulnerable,circo,explotación familiar,redes,Convertidos en negocio.
Padres virales,kids media,individuo,avatar,polarización,redes,Activismo convertido en juicio moral.
Anti influencers,internet,grupo ideológico,carcasa,cinismo,redes,Convertidos en gurús de odio.
Críticos de cine fanboys,cultura pop,grupo ideológico,manada,polarización,redes,Atacan sin matices.
Fans Marvel,cultura pop,colectivo,enjambre,exageración,redes,Representados como secta infantil.
Fans DC,cultura pop,colectivo,lobo,conflicto,redes,Imagen agresiva en competencias.
Fans anime tóxicos,cultura pop,colectivo,manada,linchamiento,redes,Acosan a creadores.
Kpop stans extremistas,cultura pop,colectivo,enjambre,hiperorganización,redes,Coordinan ataques masivos.
Haters celebridades,internet,colectivo,lobo,hostilidad,redes,Ataques sin rostro.
Periodistas digitales,medios,colectivo,espejo roto,desprestigio,redes,Tildados de mentirosos por defecto.
Medios locales,prensa,colectivo,ruido,desconfianza,ciudad,Considerados sensacionalistas.
Presentadores morning show,tv,individuo,carcasa,idealización,tv,Imagen pulida artificial.
Influencers viajes,internet,individuo,carcasa,idealización,redes,Convertidos en vidas imposibles.
Influencers productividad,internet,individuo,máquina,deshumanización,redes,Vendidos como robots perfectos.
Workaholics,empleo,grupo ideológico,carcasa,exigencia,empresa,Modelo laboral tóxico.
Burnout generalizado,empleo,fenómeno,pozo,borrado,empresa,Problema ocultado como debilidad personal.
Gigantes tecnológicos,empresa,entidad abstracta,ogro,temor,medios,Vistos como devoradores de privacidad.
Meta Facebook,empresa,entidad abstracta,máquina,distopía,redes,Convertida en villano global.
Google,empresa,entidad abstracta,oráculo,fatalismo,medios,Visto como dios que todo lo sabe.
TikTok algoritmo,internet,entidad abstracta,enjambre,control mental,medios,Temido como manipulador.
Instagram filters,internet,tecnología,espejo roto,idealización,redes,Distorsión de identidad.
Snapchat streaks,internet,tecnología,máquina,adicción psicológica,apps,Presión social invisible.
YouTube Shorts,internet,tecnología,enjambre,exceso,redes,Contenido infinito como riada.
WhatsApp madres,tendencia,lazo social,rumores,viralización,redes,Fuente de bulos emotivos.
Cabify conductores,empleo,colectivo,sombra,borrado,apps,Humanos reducidos a métricas.
Uber conductores,empleo,colectivo,máquina,automatización,apps,Rol hipercontrolado.
Airbnb hosts,economía,individuo,jaula,burocracia,plataformas,Sometidos a reglas cambiantes.
Turistas masivos,sociedad,colectivo,enjambre,odio urbano,medios,Representados como plaga.
Gentrificadores,urbanismo,colectivo,lobo,odio de clase,medios,Considerados invasores.
Skaters urbanos,cultura juvenil,grupo marginado,bestiario,estigmatización,policía,Perseguidos como delincuentes.
Grafiteros,arte urbano,grupo marginado,mancha,criminalización,medios,Vistos como plaga visual.
Raperos freestylers,música,individuo,círculo de combate,caricaturización,redes,Representados como conflicto permanente.
Bailarines urbanos,cultura,individuo,carcasa,exotización,televisión,Convertidos en espectáculo callejero.
Actores de reparto,cine,individuo,sombra,borrado,industria,Invisibles en narrativas mediáticas.
Figurantes,cine,individuo,sombra,borrado,rodajes,Presencias sin identidad.
Extras en series,cine,individuo,borrado,sombra,tv,Invisibilidad como norma.
Estilistas,cultura moda,profesión,sombra,borrado,revistas,Trabajo crucial invisibilizado.
Community managers,empleo,profesión,máquina,agotamiento,empresa,Asumidos como autómatas 24h.
Barrenderos,servicios,profesión,sombra,borrado,ciudad,Invisibles salvo fallos.
Cajeros supermercados,servicios,profesión,sombra,minimización,ciudad,Culpados de políticas ajenas.
Personas call centers,servicios,profesión,bestiario,odio,clientes,Deshumanizados en quejas.
Funcionarios ventanilla,administración,profesión,ogro,estereotipación,ciudad,Presentados como enemigos.
Políticos locales,política,individuo,lobo,culpabilización,prensa,Chivo expiatorio de problemas estructurales.
Políticos nacionales,política,colectivo,ogro,diabolización,medios,Representados como mal absoluto.
Tecnócratas,política,colectivo,torre,distancia social,medios,Vistos como insensibles.
Expertos en datos,ciencia,colectivo,espejo roto,incomprensión,medios,Rechazados por complejidad.
Modelos estadísticos,ciencia,concepto,máquina,desconfianza,política,Convertidos en oráculos fallidos.
Científicos climáticos,ciencia,colectivo,espejo roto,negacionismo,política,Atacados continuamente.
Biólogos evolutivos,ciencia,colectivo,lobo,cancelación,academia,Presionados por debates morales.
Historiadores,ciencias sociales,colectivo,espejo,controversia,política,Sus revisiones provocan linchamientos.
Arqueólogos,cultura científica,colectivo,carcasa,exotización,documentales,Convertidos en aventureros irreales.
Astrónomos,ciencia,colectivo,oráculo,fatalismo,medios,Consultados como adivinos.
Geólogos,ciencia,colectivo,torre,borrado,medios,Poca visibilidad excepto catástrofes.
Meteorólogos,ciencia,colectivo,lobo,culpabilización,televisión,Atacados por errores inevitables.
Investigadores jóvenes,ciencia,grupo vulnerable,sombra,borrado,academia,Poca visibilidad laboral.
Becarios,ciencia trabajo,colectivo,carcasa,explotación,universidad,Mano de obra invisible.
Periodistas científicos,medios,colectivo,espejo roto,distorsión,medios,Pasan mensajes complejos y los culpan igual.
Influencers científicos,internet,individuo,lobo,incredulidad,redes,Acosados por desinformación.
Divulgadores internet,internet,individuo,carcasa,idealización,redes,Convertidos en gurús o charlatanes.
Magufos famosos,pseudociencia,individuo,fantasma,hiperstición,redes,Inflan teorías absurdas.
Brujos televisivos,tv,individuo,circo,engañar,tv,Convertidos en figuras grotescas.
Mediums,esoterismo,individuo,ritual,engaño,televisión,Espectáculo de lo paranormal.
Horóscopos tv,esoterismo,concepto,espejo,misticismo,revistas,Simplificación total de complejidad humana.
Predicciones virales,internet,concepto,fantasma,hiperstición,redes,Crean realidades imaginarias.
Fake news,persuasión,idea abstracta,enjambre,propagación,redes,Multiplicación automática de falsedad.
Bulos WhatsApp,internet,idea abstracta,riada,viralización,apps,Expansión sin control.
Desinformadores profesionales,internet,colectivo,lobo,manipulación,redes,Crean caos informativo.
Influencers odio,internet,colectivo,lobo,discursos tóxicos,redes,Inyectan hostilidad generalizada.
Radicales digitales,internet,colectivo,enjambre,fanatismo,foros,Se coordinan para atacar.
Extremistas políticos,política,colectivo,lobo,polarización,medios,Generan monstruos del adversario.
Votantes del otro partido,politica,colectivo,bestiario,polarizacion,redes,Presentados como irracionales y peligrosos.
Abstencionistas,politica,colectivo,sombra,borrado,medios,Tratados como vagos sin motivacion.
Okupas,conflicto vivienda,colectivo,lobo,demonizacion,medios,Convertidos en amenaza absoluta.
Caseros especuladores,conflicto vivienda,colectivo,ogro,diabolizacion,redes,Vistos como monstruos que devoran alquileres.
Jovenes que se emancipan tarde,sociedad,colectivo,pozo,culpabilizacion,medios,Culpados de no arriesgar lo suficiente.
Niños con movil,sociedad,grupo vulnerable,humo moral,panico,medios,Presentados como perdidos por tecnologia.
Padres permisivos,sociedad,colectivo,ogro invertido,culpabilizacion,medios,Responsabilizados de la decadencia.
Madres trabajadoras,sociedad,colectivo,jaula moral,juicio,medios,Reciben criticas por cualquier decision.
Influencers crianza,internet,individuo,espejo roto,juicio moral,redes,Cada consejo genera linchamiento o adoracion.
Familias monoparentales,sociedad,colectivo,pozo,estigma,politica,Presentadas como problema social.
Familias LGTB,sociedad,colectivo,lobo cultural,diabolizacion,politica,Usadas como chivo expiatorio moral.
Personas sin hijos,sociedad,colectivo,carcasa,juicio,medios,Descritas como egoistas o inmaduras.
Niños superdotados,sistema educativo,grupo vulnerable,carcasa,exotizacion,medios,Convertidos en rarezas.
Niños con bajo rendimiento,sistema educativo,grupo vulnerable,pozo,culpabilizacion,escuela,Responsabilizados de su situacion.
Profes de FP,educacion,colectivo,sombra,borrado,medios,Casi nunca aparecen en discursos educativos.
Profes interinos,educacion,colectivo,laberinto,precariedad,administracion,Encerrados en inestabilidad permanente.
Alumnos de FP,educacion,colectivo,carcasa,estereotipo,medios,Reducidos a mano de obra barata.
Alumnos de artes graficas,educacion,colectivo,caricatura,incomprension,medios,Considerados poco serios.
Alumnado de humanidades,educacion,colectivo,pozo,desprecio,medios,Acusados de no tener futuro.
Alumnado de STEM,educacion,colectivo,máquina,explotacion,empresa,Considerados recursos productivos.
Ninis,sociedad,colectivo,bestiario,estigmatizacion,medios,Presentados como plaga vaga.
Jovenes que emigran,sociedad,colectivo,riada,fuga,medios,Usados como simbolo de fracaso estatal.
Exiliados economicos,sociedad,colectivo,sombra,nostalgia,documentales,Convertidos en figuras melancolicas.
Retornados,sociedad,colectivo,espejo roto,desubicacion,medios,Vistos como desajustados.
Sindicalistas,politica laboral,colectivo,lobo,polarizacion,medios,Representados como bloqueadores del progreso.
Empresarios pequenos,empresa,colectivo,ogro o victima,polarizacion,medios,Oscilan entre explotadores y heroes.
Grandes fortunas,empresa,colectivo,ogro gigante,demonizacion,medios,Simbolizan el mal del sistema.
Youtubers que se van a Andorra,internet,colectivo,lobo,odio de clase,redes,Convertidos en traidores fiscales.
Influencers que anuncian apuestas,internet,colectivo,veneno,normalizacion,redes,Promueven habitos daninos.
Jugadores de apuestas,adicciones,colectivo,pozo,culpa,moral,Responsabilizados sin analizar estructuras.
Casas de apuestas,negocio,entidad abstracta,ogro,mala fe,medios,Devora barrios vulnerables.
Cultura del pelotazo,historia reciente,concepto,fuego,ambicion desmedida,medios,Simbolo de corrupcion alegre.
Vecinos ruidosos,vida urbana,colectivo,bestiario,odio cotidiano,redes,Convertidos en monstruos domesticos.
