case_id,ejemplo,categoria,tipo_victima,metafora_dominante,mecanismo_de_distorsion,canal_difusion,breve_descripcion
fans_de_fútbol,Fans de fútbol,deporte,colectivo,manada,polarización,medios,Vistos como hordas irracionales.
ultras,Ultras,deporte,colectivo,lobo,demonización,medios,Convertidos en bestias peligrosas.
el_var,El VAR,deporte,entidad abstracta,máquina,culpabilización,medios,Enemigo público de los bares.
economistas,Economistas,profesión,colectivo,torre,desconfianza,medios,Considerados élite fría.
abogados,Abogados,profesión,colectivo,jaula,estereotipación,humor,presentados como estafadores.
psicólogos,Psicólogos,profesión,colectivo,espejo roto,ridiculización,series,Representados como charlatanes.
programadores,Programadores,tecnología,colectivo,laberinto,culpabilización,medios,Culpados de fallos digitales.
hackers,Hackers,tecnología,colectivo,bestiario,demonización,medios,Imagen oscura y peligrosa.
ia_moderna,IA moderna,tecnología,entidad abstracta,fantasma,apocalipsis anunciado,redes,Vista como amenaza.
chatgpt,ChatGPT,tecnología,entidad abstracta,oráculo fallido,hipérbole,memes,Representado como dios o monstruo.
algoritmos,Algoritmos,tecnología,entidad abstracta,máquina opresora,culpabilización,redes,Culpados de todo.
